GID;Pos;Name;Team;Opponent;Home/Away;Salary;Salary Change;Points;GP;Pts/Game;Pts/G/$;Pts/G(alt);Bye week;
4437;TE;Cook, Jared;stl;sfo;H;5200;0;25.3;6;4.22;0.81;0.9;6;
5188;WR;Wright, Jarius;min;chi;A;4900;0;25.1;5;5.02;1.02;4.6;5;
5209;WR;Patton, Quinton;sfo;stl;A;4500;0;25.1;7;3.59;0.8;0.7;10;
3820;WR;Murphy, Louis;tam;atl;A;4700;-300;24.8;5;4.96;1.06;3.4;6;
5207;WR;Hunter, Justin;ten;hou;A;4600;-200;24.8;6;4.13;0.9;2.7;4;
5326;WR;Coleman, Brandon;no;nyg;H;4800;0;24.7;7;3.53;0.74;2.9;11;
5408;WR;Roberts, Seth;oak;nyj;H;5100;0;24.6;6;4.1;0.8;1.1;6;
5382;WR;Green-Beckham, Dorial;ten;hou;A;4900;-200;24.2;4;6.05;1.23;0;4;
2982;RB;Oliver, Branden;sdg;bal;A;5100;400;24.1;6;4.02;0.79;10.4;10;
7006;D;Chicago;chi;min;H;4200;4200;24;6;4;0.95;0;7;
4376;TE;Chandler, Scott;ne;mia;H;4900;0;23.2;5;4.64;0.95;4.4;4;
5097;WR;Inman, Dontrelle;sdg;bal;A;5100;0;23.2;4;5.8;1.14;3.6;10;
4323;TE;Davis, Vernon;sfo;stl;A;4900;100;23;5;4.6;0.94;8.1;10;
7026;D;San Diego;sdg;bal;A;4400;0;23;7;3.29;0.75;-3;10;
1430;QB;Jones, Landry;pit;cin;H;6200;200;22.78;2;11.39;1.84;8.16;11;
4599;TE;Carrier, Derek;was;;H;0;-4900;22.7;6;3.78;0;2.5;8;
4363;TE;Celek, Brent;phi;;H;0;-4700;22.6;4;5.65;0;2.1;8;
5111;WR;Kerley, Jeremy;nyj;oak;A;5200;300;22.5;5;4.5;0.87;10.2;5;
6095;K;Novak, Nick;hou;ten;H;4500;-100;22;4;5.5;1.22;2;9;
2934;RB;Williams, Andre;nyg;no;A;5400;0;22;7;3.14;0.58;1.3;11;
7009;D;Dallas;dal;sea;H;4500;100;22;6;3.67;0.81;3;6;
4534;TE;Thomas, Julius;jac;;H;0;-5600;21.2;3;7.07;0;0.9;8;
2902;RB;Stacy, Zac;nyj;oak;A;4900;0;21.2;4;5.3;1.08;3.5;5;
3858;WR;Hartline, Brian;cle;ari;H;5000;0;21;7;3;0.6;3.7;11;
2994;RB;Coleman, Tevin;atl;tam;H;5000;-300;20.9;5;4.18;0.84;1.4;10;
5370;RB;Allen, Javorius;bal;sdg;H;5000;-100;20.6;7;2.94;0.59;4;9;
6203;K;Bullock, Randy;hou;ten;H;0;0;20;3;6.67;0;0;9;
5371;RB;Langford, Jeremy;chi;min;H;4700;4700;19.5;5;3.9;0.83;0;7;
2719;RB;Bell, Joique;det;kan;A;5200;-300;19.3;4;4.83;0.93;4.5;9;
5375;RB;Ward, Terron;atl;tam;H;4500;0;19.3;5;3.86;0.86;1.2;10;
5383;WR;Strong, Jaelen;hou;ten;H;5000;0;19.3;3;6.43;1.29;0;9;
4597;TE;Stoneburner, Jake;mia;ne;A;4600;0;19.2;3;6.4;1.39;0;5;
5407;WR;Mumphery, Keith;hou;ten;H;4800;0;19.1;6;3.18;0.66;2.1;9;
3497;WR;Cotchery, Jerricho;car;ind;H;4600;0;19;4;4.75;1.03;1.8;5;
