GID;Pos;Name;Team;Opponent;Home/Away;Salary;Salary Change;Points;GP;Pts/Game;Pts/G/$;Pts/G(alt);Bye week;
5275;WR;Aiken, Kamar;bal;stl;H;5900;500;66.6;9;7.4;1.25;10.8;9;
6104;K;Crosby, Mason;gb;min;A;4900;-100;66;9;7.33;1.5;5;7;
2696;RB;Foster, Arian;hou;nyj;H;0;0;66;4;16.5;0;0;9;
7012;D;Green Bay;gb;min;A;4600;-300;66;9;7.33;1.59;3;7;
7031;D;Washington;was;car;A;4000;0;66;9;7.33;1.83;13;8;
6120;K;Folk, Nick;nyj;hou;A;0;-4500;65;7;9.29;0;0;5;
3423;WR;Boldin, Anquan;sfo;sea;A;5700;5700;64.7;7;9.24;1.62;0;10;
3953;RB;McCluster, Dexter;ten;jac;A;5200;200;64.4;9;7.16;1.38;11.2;4;
4636;TE;Gillmore, Crockett;bal;stl;H;5300;300;64.4;7;9.2;1.74;12.2;9;
6037;K;Vinatieri, Adam;ind;atl;A;4700;4700;64;9;7.11;1.51;0;10;
7032;D;Houston;hou;nyj;H;4500;100;64;9;7.11;1.58;14;9;
4601;TE;Ebron, Eric;det;oak;H;5400;100;63.5;7;9.07;1.68;4.8;9;
3604;WR;Moore, Lance;det;oak;H;5100;0;63.1;9;7.01;1.37;10.4;9;
3737;WR;Johnson, Steve;sdg;kan;H;5600;5600;62.6;7;8.94;1.6;0;10;
2920;RB;Robinson, Khiry;no;;H;0;0;62;8;7.75;0;0;11;
7002;D;Atlanta;atl;ind;H;4600;4600;62;9;6.89;1.5;0;10;
5252;WR;Watkins, Sammy;buf;ne;A;6600;-300;61.9;6;10.32;1.56;2.9;8;
3602;WR;Colston, Marques;no;;H;0;-5300;61.8;9;6.87;0;3.7;11;
5216;WR;Williams, Terrance;dal;mia;A;5300;-100;61.8;9;6.87;1.3;4.3;6;
5113;WR;Smith, Torrey;sfo;sea;A;5500;5500;61.6;9;6.84;1.24;0;10;
7016;D;Miami;mia;dal;H;4700;200;61;9;6.78;1.44;9;5;
7030;D;Tennessee;ten;jac;A;4300;300;61;9;6.78;1.58;5;4;
2484;RB;Sproles, Darren;phi;tam;H;5400;-100;60.7;9;6.74;1.25;5.9;8;
6016;K;Dawson, Phil;sfo;sea;A;4800;4800;60;9;6.67;1.39;0;10;
4311;TE;Miller, Heath;pit;;H;0;-5300;59.5;10;5.95;0;6;11;
3437;WR;Johnson, Andre;ind;atl;A;5400;5400;58.8;9;6.53;1.21;0;10;
4552;TE;Fleener, Coby;ind;atl;A;5000;5000;58.5;8;7.31;1.46;0;10;
1438;QB;Manziel, Johnny;cle;;H;0;-6100;58.32;6;9.72;0;17.58;11;
6166;K;Barth, Connor;tam;phi;A;4800;0;58;5;11.6;2.42;6;6;
2991;RB;Gordon, Melvin;sdg;kan;H;6000;6000;57.6;9;6.4;1.07;0;10;
5163;WR;Beasley, Cole;dal;mia;A;5400;-200;57.4;9;6.38;1.18;1.3;6;
4270;TE;Gates, Antonio;sdg;kan;H;5900;5900;57.2;4;14.3;2.42;0;10;
6225;K;Boswell, Chris;pit;;H;0;-4500;57;6;9.5;0;10;11;
7008;D;Cleveland;cle;;H;0;-4200;57;10;5.7;0;4;11;
2775;RB;Spiller, C.J.;no;;H;0;-5500;56.8;9;6.31;0;4.4;11;
2924;RB;Anderson, C.J.;den;chi;A;5700;-200;56.8;9;6.31;1.11;0.9;7;
