Dallas,D,4.29,4500
Quinton Patton,WR,3.68,4500
Austin Seferian-Jenkins,TE,14.7,5200
Bilal Powell,RB,5.86,4900
Branden Oliver,RB,4.07,5100
Vernon Davis,TE,4.73,4900
Anthony Fasano,TE,4.06,4500
Cole Beasley,WR,4.06,5200
Chicago,D,4,4000
Stedman Bailey,WR,3.99,4500
Justin Hunter,WR,3.93,4600
Garrett Celek,TE,3.43,4500
Seth Roberts,WR,3.89,5000
Johnny Manziel,QB,6.73,6500
Josh Huff,WR,5.32,5300
Brandon Coleman,WR,3.33,4800
Phillip Dorsett,WR,3.8,5200
Jarius Wright,WR,4.4,4900
Dorial Green-Beckham,WR,5.18,4900
San Diego,D,3.13,4600
Dontrelle Inman,WR,4.94,5000
Scott Chandler,TE,4.1,4600
Jeremy Langford,RB,4.02,6400
Zac Stacy,RB,4.7,5000
Tevin Coleman,RB,3.92,5000
Landry Jones,QB,11.39,6200
Derek Carrier,TE,3.78,4900
Andre Williams,RB,2.84,5400
Brent Celek,TE,5.65,4700
Jonas Gray,RB,4.48,5000
Jerricho Cotchery,WR,4.36,4600
Julius Thomas,TE,7.07,5600
Terron Ward,RB,3.43,4500
Kai Forbath,K,6.67,4600
Lance Kendricks,TE,3.28,4600
Jake Stoneburner,TE,6.4,4500
Virgil Green,TE,4.73,4500
Clive Walford,TE,3.13,4500
Matt Cassel,QB,9.33,6300
Keshawn Martin,WR,6.17,4500
Harry Douglas,WR,3.6,4500
Dwayne Allen,TE,3.6,4800
Josh Bellamy,WR,4.35,4700
Aaron Dobson,WR,4.35,4500
Griff Whalen,WR,3.48,4500
Bennie Fowler,WR,3.46,4900
Clay Harbor,TE,5.63,4600
Josh Hill,TE,2.37,4700
Rashad Ross,WR,2.77,4800
Ryan Grant,WR,8.05,4600
Adam Thielen,WR,5.37,4500
Damien Williams,RB,2.67,4900
Matt Asiata,RB,2.27,4500
Ed Dickson,TE,3.16,4500
Roy Helu,RB,3.16,5000
Zach Mettenberger,QB,3.94,6400
Greg Jennings,WR,2.57,4500
Andre Roberts,WR,3.08,4800
John Phillips,TE,3.8,4500
Davante Adams,WR,3.75,5100
Bruce Miller,RB,3.73,4500
Anthony Dixon,RB,2.88,4600
Chris Gragg,TE,4.8,4500
Charles Johnson,WR,2.84,5000
Cameron Brate,TE,4.7,4500
Tre Mason,RB,2.8,4900
Rashad Greene,WR,7,4700
Brandon Myers,TE,2.74,4500
Jordan Norwood,WR,2.7,4500
Cameron Meredith,WR,3.38,4500
Quincy Enunwa,WR,3.35,4800
Nick Williams,WR,2.22,4500
Orleans Darkwa,RB,6.55,5300
Devin Street,WR,3.28,4900
Mychal Rivera,TE,2.17,4900
Jerick McKinnon,RB,1.86,4700
Dion Sims,TE,3.15,4600
Nelson Agholor,WR,2.5,4800
Devin Funchess,WR,1.79,4600
Luke McCown,QB,6.2,5000
Marcus Easley,WR,6.15,4500
Brice Butler,WR,6.15,4700
Brandon Tate,WR,1.71,4700
Denard Robinson,RB,3.9,5300
